ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD,City
,2022-01-01,28.6,23.9,76.9,0.262,21.8,0.401,Kelapa Gading
,2022-01-02,28.2,23.8,78.4,0.0,23.1,,Kelapa Gading
,2022-01-03,28.7,22.7,71.9,0.0,20.0,0.39519998,Kelapa Gading
,2022-01-04,28.4,23.3,74.9,0.0,15.1,0.49139997,Kelapa Gading
,2022-01-05,28.7,24.0,77.2,30.762,11.8,0.79039997,Kelapa Gading
,2022-01-06,27.6,24.9,86.4,6.215,16.6,,Kelapa Gading
,2022-01-07,28.0,23.7,79.6,0.586,21.9,0.0828,Kelapa Gading
,2022-01-08,28.4,24.2,79.0,0.165,21.3,0.012999999,Kelapa Gading
,2022-01-09,28.8,24.3,77.6,0.0,17.8,,Kelapa Gading
,2022-01-10,28.0,24.6,82.6,12.922,19.3,,Kelapa Gading
,2022-01-11,26.5,24.4,89.1,59.4,22.2,,Kelapa Gading
50.75,2022-01-12,26.5,24.2,88.2,11.109,20.6,0.6034,Kelapa Gading
53.75,2022-01-13,27.1,24.3,85.2,9.373,29.9,,Kelapa Gading
54.16666666666666,2022-01-14,26.8,24.4,87.0,23.019,19.0,,Kelapa Gading
52.083333333333336,2022-01-15,27.0,24.4,86.7,4.747,16.6,,Kelapa Gading
,2022-01-16,27.2,25.3,89.8,9.154,11.8,,Kelapa Gading
53.9,2022-01-17,27.8,24.8,84.5,25.273,19.5,,Kelapa Gading
36.53333333333333,2022-01-18,26.1,24.7,92.2,106.769,18.4,,Kelapa Gading
37.25,2022-01-19,27.1,24.2,84.9,73.133,27.7,0.44239998,Kelapa Gading
46.526315789473685,2022-01-20,25.8,23.4,86.8,1.874,14.2,,Kelapa Gading
36.38461538461539,2022-01-21,27.4,23.8,81.9,0.367,14.8,0.1108,Kelapa Gading
0.0,2022-01-22,27.2,24.2,84.4,13.48,16.6,0.471,Kelapa Gading
14.0,2022-01-23,29.0,24.0,75.6,0.0,18.9,0.22399999,Kelapa Gading
50.44444444444444,2022-01-24,29.1,23.7,73.9,0.0,28.4,0.2968,Kelapa Gading
37.142857142857146,2022-01-25,28.6,24.4,78.5,3.035,26.1,1.2666,Kelapa Gading
43.41666666666666,2022-01-26,27.2,24.7,86.6,1.334,13.6,,Kelapa Gading
49.0,2022-01-27,28.2,24.1,79.7,0.038,19.6,1.1998,Kelapa Gading
55.70588235294117,2022-01-28,27.5,24.0,82.6,2.383,15.7,0.72679996,Kelapa Gading
89.89473684210526,2022-01-29,27.9,24.1,80.7,0.0,14.8,,Kelapa Gading
97.73684210526316,2022-01-30,28.1,24.1,79.8,0.013,13.9,0.51339996,Kelapa Gading
98.07142857142856,2022-01-31,28.4,23.9,76.8,0.0,16.6,0.7926,Kelapa Gading
53.91666666666666,2022-02-01,28.3,24.5,81.0,0.019,15.7,1.1376,Kelapa Gading
55.66666666666666,2022-02-02,27.6,24.1,82.2,15.93,22.3,,Kelapa Gading
62.45,2022-02-03,28.7,24.5,78.7,1.002,15.1,0.36879998,Kelapa Gading
45.7,2022-02-04,26.9,24.3,86.5,57.188,16.0,0.5572,Kelapa Gading
54.42857142857143,2022-02-05,26.3,24.3,89.2,52.416,20.5,,Kelapa Gading
25.0,2022-02-06,27.5,24.1,82.4,0.748,21.0,,Kelapa Gading
42.05263157894737,2022-02-07,27.7,24.5,83.3,15.085,18.1,,Kelapa Gading
64.8,2022-02-08,26.5,25.0,91.7,34.156,10.6,,Kelapa Gading
81.47619047619048,2022-02-09,27.3,24.0,83.0,3.872,37.1,0.4342,Kelapa Gading
31.714285714285715,2022-02-10,27.1,23.3,80.6,0.038,22.3,,Kelapa Gading
59.95,2022-02-11,27.6,24.0,81.2,0.154,18.4,,Kelapa Gading
58.89473684210526,2022-02-12,27.9,24.7,82.9,0.0,12.4,,Kelapa Gading
66.57142857142857,2022-02-13,27.1,24.3,84.9,0.039,16.6,,Kelapa Gading
86.72222222222223,2022-02-14,26.4,23.7,85.5,15.122,18.1,,Kelapa Gading
85.52941176470588,2022-02-15,27.5,23.9,81.8,2.719,12.9,,Kelapa Gading
79.1,2022-02-16,28.2,23.9,79.4,30.565,33.5,0.27899998,Kelapa Gading
74.35714285714286,2022-02-17,27.4,24.2,83.4,0.208,14.5,0.4418,Kelapa Gading
,2022-02-18,27.2,24.6,85.7,2.98,11.4,,Kelapa Gading
,2022-02-19,27.3,24.5,85.1,0.925,18.4,,Kelapa Gading
,2022-02-20,27.7,24.8,84.8,1.279,13.1,0.045199998,Kelapa Gading
,2022-02-21,28.3,23.5,76.6,0.129,17.8,0.60539997,Kelapa Gading
,2022-02-22,28.8,23.8,75.8,2.535,19.0,0.103599995,Kelapa Gading
67.4,2022-02-23,27.9,23.4,77.3,10.202,29.5,0.4966,Kelapa Gading
54.64705882352941,2022-02-24,27.8,22.0,73.1,3.398,30.0,,Kelapa Gading
54.63636363636363,2022-02-25,26.8,22.9,79.8,2.955,21.7,,Kelapa Gading
41.4,2022-02-26,26.8,23.3,81.8,0.417,30.7,,Kelapa Gading
40.5,2022-02-27,27.1,23.7,82.3,2.453,27.7,0.126,Kelapa Gading
38.523809523809526,2022-02-28,27.5,24.1,82.4,2.904,20.5,,Kelapa Gading
24.55,2022-03-01,25.9,23.9,89.1,13.622,24.1,,Kelapa Gading
48.31578947368421,2022-03-02,27.4,24.1,83.2,11.598,26.3,0.355,Kelapa Gading
46.2,2022-03-03,28.2,23.9,78.1,0.062,27.7,0.030399999,Kelapa Gading
45.76190476190476,2022-03-04,28.0,23.9,79.7,3.274,16.6,,Kelapa Gading
55.05263157894737,2022-03-05,27.3,23.8,82.0,14.696,26.7,,Kelapa Gading
48.80952380952381,2022-03-06,27.4,23.8,81.2,0.541,28.7,0.06,Kelapa Gading
37.27777777777778,2022-03-07,28.6,23.1,73.7,0.013,24.1,,Kelapa Gading
57.8,2022-03-08,27.8,24.2,82.2,2.995,20.5,0.26299998,Kelapa Gading
67.3157894736842,2022-03-09,27.6,24.5,84.1,0.0,18.3,,Kelapa Gading
83.89473684210526,2022-03-10,28.0,24.4,81.4,0.565,21.9,0.443,Kelapa Gading
97.35,2022-03-11,28.0,24.7,83.0,10.601,23.2,0.5354,Kelapa Gading
49.0,2022-03-12,27.2,24.9,87.6,18.173,16.6,0.3662,Kelapa Gading
47.285714285714285,2022-03-13,27.9,24.9,84.5,1.734,15.4,0.1678,Kelapa Gading
73.9,2022-03-14,28.7,25.0,81.5,7.793,16.6,0.41399997,Kelapa Gading
71.15789473684211,2022-03-15,26.7,24.6,88.8,2.919,19.3,,Kelapa Gading
15.3,2022-03-16,28.4,24.1,79.4,0.077,17.8,0.49019998,Kelapa Gading
91.85714285714286,2022-03-17,28.7,25.4,82.9,1.099,18.4,0.7208,Kelapa Gading
77.76190476190476,2022-03-18,28.2,24.9,82.9,0.0,25.0,,Kelapa Gading
34.0,2022-03-19,29.1,24.2,76.0,0.0,28.7,0.113,Kelapa Gading
42.75,2022-03-20,29.4,23.1,70.4,0.0,34.3,0.110599995,Kelapa Gading
27.666666666666668,2022-03-21,29.0,23.4,72.8,0.0,27.7,0.38819999,Kelapa Gading
38.05882352941177,2022-03-22,28.7,24.1,76.8,0.77,20.2,,Kelapa Gading
52.5,2022-03-23,27.6,24.2,81.9,0.919,25.1,0.3448,Kelapa Gading
45.4,2022-03-24,28.6,23.8,76.8,1.934,18.4,0.3188,Kelapa Gading
96.7391304347826,2022-03-25,29.1,25.0,79.5,0.105,19.0,0.508,Kelapa Gading
82.11764705882354,2022-03-26,26.4,24.5,89.6,27.005,11.3,,Kelapa Gading
,2022-03-27,27.4,24.5,85.4,11.149,29.5,0.2728,Kelapa Gading
59.5,2022-03-28,27.9,24.4,82.2,11.259,15.2,0.3338,Kelapa Gading
64.95238095238095,2022-03-29,29.0,24.4,77.4,0.0,13.0,0.68,Kelapa Gading
81.42857142857143,2022-03-30,29.0,24.0,75.7,0.0,11.5,,Kelapa Gading
117.75,2022-03-31,28.3,24.3,79.8,0.065,16.7,0.3532,Kelapa Gading
97.3181818181818,2022-04-01,28.3,24.3,79.5,1.811,13.0,,Kelapa Gading
77.15,2022-04-02,28.1,24.5,82.0,6.976,17.8,0.1188,Kelapa Gading
49.1875,2022-04-03,27.1,24.0,83.9,13.539,29.5,0.2926,Kelapa Gading
54.36363636363637,2022-04-04,28.4,23.6,76.9,0.001,19.3,0.28939998,Kelapa Gading
82.14285714285714,2022-04-05,27.6,24.1,82.5,38.747,22.3,0.4258,Kelapa Gading
66.1304347826087,2022-04-06,28.6,23.7,76.2,2.162,29.5,0.1046,Kelapa Gading
68.81818181818181,2022-04-07,28.7,24.3,77.9,0.05,24.1,0.3328,Kelapa Gading
61.89473684210526,2022-04-08,28.1,23.6,77.2,47.999,29.5,0.692,Kelapa Gading
62.75,2022-04-09,28.5,23.8,77.0,0.348,14.8,0.44599998,Kelapa Gading
95.75,2022-04-10,28.4,24.3,79.1,0.05,18.4,0.5262,Kelapa Gading
84.85714285714286,2022-04-11,28.6,24.3,78.6,11.857,18.4,0.5986,Kelapa Gading
94.57142857142856,2022-04-12,28.2,24.7,82.4,2.934,24.1,0.7852,Kelapa Gading
103.47058823529412,2022-04-13,28.9,24.7,78.8,0.098,14.8,0.4998,Kelapa Gading
86.04761904761905,2022-04-14,29.0,24.2,75.8,0.219,20.5,0.391,Kelapa Gading
78.4,2022-04-15,29.5,24.7,76.3,0.695,20.5,0.3288,Kelapa Gading
78.5,2022-04-16,29.2,24.2,75.4,0.633,16.6,0.5208,Kelapa Gading
98.15789473684212,2022-04-17,29.4,25.1,78.3,0.279,20.5,0.6842,Kelapa Gading
72.05263157894737,2022-04-18,29.4,25.4,79.5,14.218,20.5,0.4468,Kelapa Gading
57.78947368421053,2022-04-19,28.5,24.7,80.6,1.085,22.3,0.28959998,Kelapa Gading
73.47368421052632,2022-04-20,28.5,24.6,80.0,1.597,27.7,0.7212,Kelapa Gading
56.3,2022-04-21,26.9,24.6,87.3,9.599,16.6,,Kelapa Gading
98.25,2022-04-22,26.3,24.4,89.7,13.151,16.6,0.6328,Kelapa Gading
78.1,2022-04-23,28.3,24.8,82.5,0.125,16.6,0.0784,Kelapa Gading
72.5,2022-04-24,28.7,24.7,80.2,3.814,14.5,0.7736,Kelapa Gading
71.76190476190476,2022-04-25,28.5,24.6,80.9,13.175,25.9,0.7564,Kelapa Gading
74.15,2022-04-26,28.5,24.6,80.7,1.838,22.3,1.0158,Kelapa Gading
54.66666666666666,2022-04-27,28.3,24.7,81.4,8.1,31.7,0.3992,Kelapa Gading
24.857142857142858,2022-04-28,27.3,24.4,84.7,3.165,22.3,,Kelapa Gading
18.476190476190474,2022-04-29,28.7,24.9,80.7,0.0,22.3,1.3614,Kelapa Gading
54.95,2022-04-30,28.0,25.4,86.1,0.232,16.6,0.31599998,Kelapa Gading
69.5,2022-05-01,27.8,25.4,87.0,0.796,11.2,1.129,Kelapa Gading
30.0,2022-05-02,27.7,25.0,86.1,21.214,18.7,0.4186,Kelapa Gading
52.833333333333336,2022-05-03,28.1,25.1,84.9,1.98,20.5,0.0716,Kelapa Gading
55.0,2022-05-04,28.4,25.1,83.2,0.078,25.9,0.9788,Kelapa Gading
58.45,2022-05-05,28.8,25.3,82.2,0.002,27.7,0.3408,Kelapa Gading
48.6,2022-05-06,29.4,25.5,80.5,0.0,24.1,0.198,Kelapa Gading
57.95238095238095,2022-05-07,29.3,25.1,79.0,0.035,16.6,0.3692,Kelapa Gading
