ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,28.3,24.1,79.3,0.645,21.0,0.3712
,2022-01-02,27.8,23.8,79.8,0.0,20.9,
,2022-01-03,28.7,22.7,71.8,0.0,22.5,0.1336
,2022-01-04,28.1,23.3,76.0,0.0,15.8,0.3358
,2022-01-05,28.7,24.1,77.7,20.392,13.2,0.24839999
,2022-01-06,27.6,25.1,86.8,11.033,16.6,
,2022-01-07,28.0,23.8,79.4,1.613,22.4,0.058
,2022-01-08,28.4,24.3,79.9,0.045,21.9,0.0894
,2022-01-09,28.6,24.6,79.6,0.0,22.3,
,2022-01-10,27.6,24.6,84.1,11.141,21.6,
,2022-01-11,26.4,24.4,89.5,58.887,18.8,
51.75,2022-01-12,26.5,24.3,88.9,17.599,25.9,0.38059998
50.833333333333336,2022-01-13,26.9,24.2,85.8,4.394,24.1,
52.916666666666664,2022-01-14,26.7,24.4,87.5,13.717,20.6,
59.833333333333336,2022-01-15,26.8,24.7,88.6,4.661,17.3,
,2022-01-16,27.2,25.5,90.6,8.146,15.1,
74.1,2022-01-17,27.7,25.0,86.0,9.138,19.3,
62.93333333333333,2022-01-18,26.1,24.8,93.0,120.949,18.4,
49.3125,2022-01-19,27.0,24.4,86.7,59.672,27.7,
54.26315789473684,2022-01-20,25.6,23.7,89.1,4.06,17.3,
54.07692307692308,2022-01-21,27.2,24.1,83.7,1.096,18.0,0.04
59.0,2022-01-22,27.0,24.4,86.2,20.404,16.6,0.4238
58.3125,2022-01-23,28.7,24.2,78.0,0.0,20.3,0.357
58.333333333333336,2022-01-24,29.0,24.3,76.9,0.0,30.0,0.25759998
55.285714285714285,2022-01-25,28.4,24.7,81.0,2.973,22.4,0.40739998
56.083333333333336,2022-01-26,27.0,24.9,88.3,2.198,16.7,
64.91666666666667,2022-01-27,28.1,24.6,82.2,0.171,22.7,0.9572
66.17647058823529,2022-01-28,27.5,24.5,84.5,4.902,18.8,0.3594
98.15789473684211,2022-01-29,27.6,24.2,82.4,0.0,15.1,
128.6315789473684,2022-01-30,28.0,24.2,80.3,0.03,18.8,
120.21428571428571,2022-01-31,28.1,24.0,79.4,0.0,16.6,0.077
74.91666666666667,2022-02-01,28.2,24.7,81.7,0.086,18.0,
87.33333333333333,2022-02-02,27.4,24.2,83.5,6.516,22.3,
73.85,2022-02-03,28.4,24.6,80.4,2.42,15.8,
56.85,2022-02-04,26.9,24.3,86.8,72.658,19.5,
63.23809523809524,2022-02-05,26.0,24.4,90.8,40.261,20.5,
26.736842105263158,2022-02-06,27.5,24.2,83.3,2.506,18.8,
53.473684210526315,2022-02-07,27.7,24.5,83.7,10.178,17.3,
76.85,2022-02-08,26.5,25.0,91.5,45.688,10.7,
88.80952380952381,2022-02-09,27.2,24.1,84.1,7.633,37.1,
40.23809523809524,2022-02-10,26.9,23.3,81.3,0.179,23.7,
82.55,2022-02-11,27.7,24.0,80.6,0.214,18.4,
70.84210526315789,2022-02-12,27.8,24.7,83.4,0.0,13.7,
89.61904761904762,2022-02-13,27.0,24.3,85.7,0.201,16.6,
92.27777777777777,2022-02-14,26.3,23.7,86.2,16.031,17.3,
112.29411764705883,2022-02-15,27.5,24.1,82.7,5.402,15.2,
90.7,2022-02-16,28.0,24.0,80.2,29.246,33.5,
0.0,2022-02-17,27.3,24.3,84.1,1.008,13.7,
,2022-02-18,27.1,24.8,87.3,3.519,10.4,
,2022-02-19,27.3,24.5,85.5,1.283,18.4,
,2022-02-20,27.5,25.0,86.3,2.8,15.0,
,2022-02-21,28.0,23.7,78.1,0.361,16.6,
,2022-02-22,28.7,23.9,76.2,3.262,20.6,
76.0,2022-02-23,27.7,23.6,79.3,10.268,29.5,
50.470588235294116,2022-02-24,27.5,22.3,75.2,3.905,21.8,
51.5,2022-02-25,26.4,23.2,83.0,4.01,21.6,
50.15,2022-02-26,26.7,23.5,82.8,1.868,29.5,
54.285714285714285,2022-02-27,26.8,23.7,83.8,6.151,27.7,
47.76190476190476,2022-02-28,27.3,24.2,83.8,3.904,22.7,
48.75,2022-03-01,25.8,24.0,90.2,16.545,24.1,
50.526315789473685,2022-03-02,27.0,24.3,85.5,8.891,31.5,0.46859998
47.25,2022-03-03,28.1,24.0,79.7,0.092,27.7,0.1096
52.0,2022-03-04,27.7,24.2,81.8,4.056,20.6,
65.26315789473684,2022-03-05,27.0,23.9,83.4,15.167,29.5,
46.666666666666664,2022-03-06,27.1,24.0,83.8,1.822,31.0,
38.833333333333336,2022-03-07,28.2,23.6,77.1,0.036,24.4,
47.5,2022-03-08,27.7,24.3,82.8,1.063,20.5,0.2834
66.73684210526316,2022-03-09,27.4,24.5,84.7,0.0,18.6,
83.89473684210526,2022-03-10,27.9,24.4,82.3,2.499,18.4,0.7276
104.0,2022-03-11,27.9,24.8,83.5,7.548,26.5,
52.94736842105263,2022-03-12,27.2,24.9,87.5,21.938,16.6,
64.04761904761905,2022-03-13,27.9,24.9,84.5,4.179,17.7,
88.0,2022-03-14,28.5,25.1,83.0,9.912,16.7,0.28599998
80.73684210526316,2022-03-15,26.6,24.7,89.3,5.676,21.6,
71.4,2022-03-16,28.2,24.4,81.3,0.343,19.1,0.419
102.52380952380952,2022-03-17,28.6,25.3,82.9,3.258,18.5,0.5198
105.42857142857143,2022-03-18,28.2,25.0,83.2,0.0,22.9,
32.578947368421055,2022-03-19,28.9,24.2,77.1,0.0,31.0,
55.3,2022-03-20,29.3,23.4,72.0,0.0,32.5,0.14999999
30.714285714285715,2022-03-21,28.9,23.5,73.6,0.0,30.7,
32.0,2022-03-22,28.6,24.0,76.9,1.068,19.6,
47.55,2022-03-23,27.3,24.3,83.7,5.021,31.7,0.5004
0.0,2022-03-24,28.4,23.9,78.2,2.684,19.7,0.1598
5.0,2022-03-25,28.9,25.0,80.5,0.158,20.6,
97.17647058823529,2022-03-26,26.4,24.4,89.4,19.274,15.9,
,2022-03-27,27.5,24.6,85.0,13.611,29.5,0.15699999
62.5625,2022-03-28,27.8,24.5,83.3,14.482,18.7,0.30699998
87.04761904761905,2022-03-29,28.9,24.6,78.4,0.0,13.0,0.8616
92.71428571428571,2022-03-30,28.8,24.1,76.9,0.0,12.4,
67.45,2022-03-31,28.4,24.4,79.9,0.109,22.8,0.486
93.36363636363636,2022-04-01,28.2,24.5,80.8,2.196,20.8,
72.3,2022-04-02,28.0,24.6,82.4,9.868,17.9,0.2312
58.5,2022-04-03,27.0,24.1,84.8,19.675,29.5,0.3538
65.04545454545455,2022-04-04,28.4,23.6,76.6,0.001,21.6,0.104399994
73.14285714285714,2022-04-05,27.5,24.0,82.6,40.51,22.3,0.19399999
69.43478260869566,2022-04-06,28.6,23.5,75.9,0.73,29.5,0.3812
72.72727272727273,2022-04-07,28.7,24.2,77.6,0.207,24.1,0.6074
66.73684210526316,2022-04-08,28.0,23.5,77.3,32.087,29.5,
71.45,2022-04-09,28.4,23.7,77.2,1.053,14.8,0.34559998
104.25,2022-04-10,28.2,24.2,79.8,0.158,18.4,0.583
83.76190476190476,2022-04-11,28.4,24.2,79.1,16.907,18.4,0.44739997
100.66666666666667,2022-04-12,28.0,24.6,83.0,5.439,24.1,0.7958
109.11764705882354,2022-04-13,28.7,24.6,79.4,0.204,14.8,0.93259996
86.61904761904762,2022-04-14,28.9,24.1,76.0,0.31,20.5,0.4026
89.15,2022-04-15,29.3,24.7,77.0,1.437,20.5,0.9496
98.9,2022-04-16,29.1,24.2,75.9,2.577,16.6,0.6058
109.89473684210526,2022-04-17,29.2,25.0,79.0,1.235,20.5,1.083
82.52631578947368,2022-04-18,29.3,25.3,79.7,12.362,20.5,0.5434
72.73684210526316,2022-04-19,28.3,24.6,81.3,3.058,22.3,0.84639996
82.94736842105263,2022-04-20,28.4,24.6,80.8,2.214,27.7,0.75479996
58.85,2022-04-21,26.7,24.5,88.2,10.732,16.6,
99.4,2022-04-22,26.2,24.3,89.9,10.588,16.6,0.70739996
84.25,2022-04-23,28.2,24.8,82.6,0.188,16.6,0.29639998
101.35,2022-04-24,28.5,24.7,80.7,6.148,15.3,0.37539998
79.23809523809524,2022-04-25,28.4,24.6,81.3,21.912,25.9,0.52739996
68.15,2022-04-26,28.4,24.5,80.9,2.452,22.3,0.949
67.23809523809524,2022-04-27,28.1,24.6,82.0,8.132,31.7,
51.0,2022-04-28,27.3,24.3,84.8,3.769,22.3,
43.61904761904762,2022-04-29,28.6,24.7,80.6,0.0,22.3,1.829
56.0,2022-04-30,27.8,25.3,86.4,0.167,16.6,
98.5,2022-05-01,27.6,25.2,87.2,2.252,11.2,
88.9,2022-05-02,27.5,24.9,86.4,30.227,19.6,0.3918
61.611111111111114,2022-05-03,27.9,25.0,85.2,11.079,20.5,0.0712
66.05263157894737,2022-05-04,28.3,25.0,83.3,0.23,25.9,0.4876
69.35,2022-05-05,28.6,25.2,82.7,0.003,27.7,0.40379998
58.95,2022-05-06,29.3,25.4,80.9,0.0,24.1,0.34719998
79.47619047619048,2022-05-07,29.1,24.9,79.2,0.079,16.6,0.24059999
67.0,2022-05-08,29.7,25.1,77.2,0.0,20.5,0.1832
64.65,2022-05-09,28.6,25.2,82.5,0.105,22.3,0.7374
73.85,2022-05-10,29.6,25.4,78.9,0.006,18.4,0.66819996
62.85,2022-05-11,27.9,25.4,86.8,26.801,46.4,1.0358
84.9,2022-05-12,28.5,25.6,84.7,9.137,20.5,0.7122
52.36363636363637,2022-05-13,28.9,25.4,81.8,6.982,16.6,0.1326
71.5,2022-05-14,29.0,25.1,80.0,0.04,14.8,
105.04347826086956,2022-05-15,28.6,25.8,85.7,6.558,18.4,0.4344
92.0,2022-05-16,28.1,25.0,84.3,1.006,13.0,0.23099999
85.2,2022-05-17,28.8,25.6,83.5,0.352,15.0,0.6096
83.1,2022-05-18,28.3,25.2,84.2,24.879,18.4,0.1634
99.6875,2022-05-19,27.4,25.1,88.1,13.063,18.4,1.1984
86.75,2022-05-20,27.2,24.8,87.6,14.644,14.8,0.3728
79.0,2022-05-21,27.3,24.7,86.4,0.797,20.5,0.6702
74.36842105263158,2022-05-22,27.4,24.8,86.1,0.0,22.3,
64.0952380952381,2022-05-23,28.5,25.0,82.1,0.0,27.7,0.24659999
50.333333333333336,2022-05-24,29.5,25.0,77.7,0.0,27.7,0.0504
53.73684210526316,2022-05-25,27.6,25.0,86.3,3.896,24.1,
70.95238095238095,2022-05-26,27.0,24.3,85.6,0.618,14.8,
76.44444444444444,2022-05-27,28.3,24.0,78.7,0.851,16.6,0.317
89.1,2022-05-28,25.8,23.8,88.7,28.902,22.3,
87.95,2022-05-29,26.8,23.9,84.8,22.996,19.5,
67.47619047619048,2022-05-30,26.5,24.8,90.4,0.123,33.5,0.33359998
96.63157894736842,2022-05-31,27.0,24.4,86.7,4.568,24.1,0.034199998
78.8,2022-06-01,28.1,24.2,80.8,0.949,24.1,0.43879998
69.42857142857143,2022-06-02,27.6,24.7,85.7,22.546,20.5,0.0752
71.52631578947368,2022-06-03,27.9,24.3,82.3,1.781,18.4,0.89339995
100.6842105263158,2022-06-04,28.5,24.5,80.1,0.143,16.6,0.2188
78.65,2022-06-05,27.9,24.0,80.4,0.962,15.9,0.45499998
90.35,2022-06-06,26.9,24.1,85.5,3.303,18.4,
77.26315789473684,2022-06-07,27.6,24.8,85.5,2.109,29.5,
72.1,2022-06-08,27.3,25.0,87.4,10.848,16.6,0.2272
82.2,2022-06-09,26.2,24.6,90.9,10.138,22.3,0.3852
76.05263157894737,2022-06-10,27.7,24.1,81.7,0.149,18.4,0.022799999
74.3,2022-06-11,28.0,25.3,86.0,3.796,25.9,0.3522
95.35,2022-06-12,27.4,24.6,85.3,0.322,16.6,0.6268
88.47619047619048,2022-06-13,27.3,24.2,83.8,0.187,14.8,
96.10526315789474,2022-06-14,27.5,24.1,82.9,0.068,25.9,0.31559998
,2022-06-15,26.6,24.6,89.5,5.476,18.4,
,2022-06-16,26.6,24.5,88.8,0.0,20.5,1.0224
110.9,2022-06-17,26.4,24.6,89.8,0.07,20.5,
,2022-06-18,26.6,23.8,85.2,0.013,11.2,0.4818
,2022-06-19,27.8,24.2,81.9,0.007,24.1,0.35979998
108.33333333333333,2022-06-20,27.9,24.3,81.6,4.054,13.7,0.5762
97.0,2022-06-21,28.1,24.2,80.1,0.0,25.9,0.58019996
94.53333333333333,2022-06-22,27.8,25.1,85.7,17.928,24.1,0.629
106.47368421052632,2022-06-23,28.2,23.8,78.8,0.009,22.3,0.5708
119.36842105263158,2022-06-24,27.5,24.4,83.8,0.043,22.3,1.8992
114.6842105263158,2022-06-25,27.4,24.0,83.0,7.393,18.4,
106.44444444444444,2022-06-26,27.1,24.5,86.1,0.719,14.8,0.46179998
91.83333333333333,2022-06-27,28.0,24.6,82.7,12.758,14.8,0.58919996
79.47619047619048,2022-06-28,28.0,24.5,82.2,0.503,13.7,0.79219997
36.5,2022-06-29,27.9,23.8,79.4,0.0,20.5,0.3258
22.5,2022-06-30,27.8,22.3,73.0,0.0,16.6,0.3766
89.26666666666667,2022-07-01,28.3,23.0,74.4,0.0,22.3,0.4082
117.53333333333333,2022-07-02,28.7,24.0,76.6,0.266,18.4,0.5432
109.66666666666667,2022-07-03,28.4,25.6,85.3,17.312,24.1,
75.04347826086956,2022-07-04,29.2,25.3,80.2,1.438,33.5,0.2066
72.94736842105263,2022-07-05,29.3,25.2,79.9,0.138,20.5,0.2528
87.0,2022-07-06,26.7,24.9,90.1,24.255,13.0,
91.73684210526316,2022-07-07,28.3,25.1,84.1,0.092,13.0,0.604
,2022-07-08,28.8,24.1,77.0,0.0,18.4,0.1232
47.285714285714285,2022-07-09,28.1,22.4,72.4,0.0,17.3,0.2938
67.9,2022-07-10,28.0,22.1,70.7,0.0,25.9,0.1344
80.55,2022-07-11,28.3,23.2,75.0,0.0,18.4,0.37039998
100.1,2022-07-12,28.7,24.8,80.4,0.483,27.7,
95.22222222222223,2022-07-13,26.7,24.5,88.4,8.896,20.5,
81.95238095238095,2022-07-14,28.0,24.6,82.7,0.023,25.9,0.6732
63.61904761904762,2022-07-15,28.0,24.6,82.7,15.779,25.9,0.2756
55.357142857142854,2022-07-16,25.5,23.0,87.0,35.164,22.3,
81.9,2022-07-17,27.3,24.5,85.3,0.0,22.3,
103.05,2022-07-18,28.0,24.7,82.8,0.023,14.8,0.3626
93.42857142857143,2022-07-19,28.7,25.0,81.3,0.0,25.9,0.44939998
98.36842105263158,2022-07-20,28.8,25.2,81.4,0.0,20.5,0.9384
95.23809523809524,2022-07-21,28.3,24.2,79.4,0.0,16.6,0.3946
105.9,2022-07-22,28.2,24.6,81.6,0.26,29.5,1.7179999
74.0,2022-07-23,28.5,24.5,79.9,0.073,18.4,0.70059997
65.84210526315789,2022-07-24,28.4,24.1,78.4,0.544,18.4,0.7818
74.04761904761905,2022-07-25,28.1,24.1,80.0,3.244,18.4,
80.85,2022-07-26,28.3,23.2,74.9,0.0,24.1,0.76919997
85.76190476190476,2022-07-27,28.3,23.0,73.9,0.0,16.6,0.5714
91.35,2022-07-28,28.9,24.0,75.6,0.0,27.7,0.12799999
19.285714285714285,2022-07-29,29.1,24.6,77.8,1.949,27.7,0.4344
82.9,2022-07-30,28.3,24.6,81.2,0.0,22.3,0.8106
86.77777777777777,2022-07-31,28.6,24.5,79.6,0.0,27.7,0.49319997
78.52631578947368,2022-08-01,28.7,24.4,78.6,0.0,25.9,0.2488
77.5,2022-08-02,28.8,24.3,77.5,0.0,18.4,0.4718
108.2,2022-08-03,28.7,24.9,80.8,5.295,20.5,
86.6,2022-08-04,27.5,24.8,86.1,16.983,20.1,0.37899998
66.42857142857143,2022-08-05,27.4,24.8,86.4,10.105,18.6,0.6702
83.21052631578948,2022-08-06,27.8,23.7,79.9,5.34,18.3,0.52739996
92.6,2022-08-07,27.7,23.9,80.8,3.242,16.6,0.2738
74.875,2022-08-08,28.1,23.5,77.0,0.0,18.4,0.6132
73.04166666666667,2022-08-09,28.5,23.6,75.8,1.941,15.1,0.2376
96.45454545454545,2022-08-10,28.6,23.5,75.8,0.008,20.1,0.4728
91.33333333333333,2022-08-11,29.1,24.0,75.4,0.087,19.3,0.5618
83.8695652173913,2022-08-12,28.8,23.7,75.0,0.85,18.5,1.2536
77.15384615384616,2022-08-13,28.2,23.5,76.4,0.08,25.9,1.3426
77.15789473684211,2022-08-14,28.5,23.3,74.8,0.7,27.7,0.0994
72.0,2022-08-15,28.4,23.3,74.8,1.367,18.4,0.2792
73.80952380952381,2022-08-16,27.9,23.5,77.8,1.357,14.8,
65.78571428571429,2022-08-17,28.2,23.7,77.2,3.9,27.7,0.2874
80.15,2022-08-18,28.8,22.3,68.8,0.0,33.5,0.15439999
72.52631578947368,2022-08-19,29.3,22.2,67.0,0.0,30.0,0.116799995
71.66666666666667,2022-08-20,29.1,23.0,70.8,0.011,31.7,0.42479998
67.54545454545455,2022-08-21,28.4,22.9,72.8,6.416,20.5,0.6174
65.47368421052632,2022-08-22,27.0,23.5,81.5,0.0,15.3,0.23099999
95.0,2022-08-23,28.9,23.3,73.4,0.0,19.1,0.788
87.9,2022-08-24,28.9,23.3,72.8,0.507,22.3,0.3486
76.45,2022-08-25,28.9,22.1,67.6,0.059,25.9,0.43699998
103.77777777777777,2022-08-26,28.5,22.2,69.2,0.007,13.0,
111.3076923076923,2022-08-27,27.9,23.6,77.8,1.455,18.4,
88.47619047619048,2022-08-28,27.2,23.9,82.4,2.535,20.5,0.783
76.4,2022-08-29,27.9,23.8,79.4,0.347,16.6,0.5396
72.88235294117646,2022-08-30,28.5,23.2,74.0,0.0,16.6,0.5434
,2022-08-31,28.6,23.1,73.6,0.452,20.1,0.85139996
,2022-09-01,28.7,23.8,75.6,2.571,33.5,0.8312
93.05882352941177,2022-09-02,28.1,24.0,79.3,2.467,22.7,0.87119997
78.66666666666667,2022-09-03,27.7,23.0,76.8,0.105,29.5,0.4928
48.35294117647059,2022-09-04,28.1,23.1,75.2,1.0,29.5,0.433
78.27777777777777,2022-09-05,28.9,23.8,75.4,0.182,22.3,0.7448
74.82352941176471,2022-09-06,28.8,24.3,77.3,8.118,27.7,0.54039997
72.78947368421052,2022-09-07,27.3,24.3,84.4,14.247,24.1,0.523
67.72222222222223,2022-09-08,25.9,24.0,89.7,6.683,13.0,
87.89473684210526,2022-09-09,26.2,23.6,86.5,39.638,18.4,
,2022-09-10,26.1,23.8,88.0,11.589,24.1,0.562
,2022-09-11,27.5,23.8,81.5,12.521,20.5,0.2564
,2022-09-12,27.4,23.6,80.2,0.757,15.2,0.435
81.3,2022-09-13,27.9,23.5,77.6,0.065,16.6,0.4682
80.80952380952381,2022-09-14,28.0,22.6,73.6,0.001,17.3,0.3576
109.52941176470588,2022-09-15,28.6,22.9,72.6,0.0,14.0,0.3288
,2022-09-16,28.2,23.1,74.7,1.281,16.6,0.37
82.27272727272727,2022-09-17,28.5,23.9,76.8,0.0,22.3,0.3782
89.65217391304348,2022-09-18,28.2,24.5,81.4,0.618,11.8,0.5614
96.75,2022-09-19,28.1,23.6,77.8,3.552,18.4,0.61259997
84.3,2022-09-20,28.2,22.7,73.2,0.0,14.8,0.774
85.76190476190476,2022-09-21,28.2,24.0,78.9,5.714,16.6,0.8574
87.6842105263158,2022-09-22,27.6,24.2,82.1,16.665,22.3,0.3084
84.73684210526316,2022-09-23,27.7,24.1,81.8,5.326,20.5,0.34199998
,2022-09-24,28.4,24.1,78.5,0.0,24.1,0.1732
,2022-09-25,28.5,24.2,78.3,0.0,20.5,0.5646
,2022-09-26,28.7,23.3,74.7,8.805,18.4,0.18339999
,2022-09-27,28.8,23.0,72.1,0.003,18.4,0.57339996
,2022-09-28,28.8,23.5,74.5,0.007,17.9,0.38459998
,2022-09-29,28.8,23.4,73.9,0.171,18.4,
,2022-09-30,28.5,23.5,75.7,0.0,27.7,0.354
76.9375,2022-10-01,29.6,24.5,75.2,0.053,21.1,0.1908
50.77272727272727,2022-10-02,26.9,24.5,87.3,16.782,10.3,0.569
71.91304347826087,2022-10-03,28.2,24.4,80.9,1.947,15.2,0.53319997
64.22727272727273,2022-10-04,26.8,24.1,85.9,21.399,22.3,0.3152
38.958333333333336,2022-10-05,27.2,24.6,86.0,5.408,16.6,
0.0,2022-10-06,27.3,24.4,85.6,28.783,21.4,
,2022-10-07,26.4,24.1,88.0,5.371,20.6,0.2532
,2022-10-08,27.5,23.1,78.1,0.1,22.3,0.8386
,2022-10-09,27.5,24.1,82.5,3.333,29.5,1.1078
60.583333333333336,2022-10-10,27.3,23.9,82.5,0.053,13.0,1.1158
79.0,2022-10-11,27.1,23.8,83.3,12.166,22.3,0.755
83.84210526315789,2022-10-12,27.5,23.6,80.3,0.37,18.4,0.7266
76.05263157894737,2022-10-13,27.4,24.0,82.9,20.646,20.5,0.6694
70.47619047619048,2022-10-14,28.0,24.0,79.9,0.185,18.4,0.249
67.57142857142857,2022-10-15,27.8,24.3,81.8,6.896,18.4,0.51739997
28.68421052631579,2022-10-16,28.1,25.0,83.3,5.272,13.0,0.95699996
0.0,2022-10-17,28.5,24.8,81.3,2.403,22.3,0.7892
0.0,2022-10-18,27.6,24.6,84.3,0.663,16.0,
0.0,2022-10-19,26.9,24.5,87.4,12.716,18.4,
0.0,2022-10-20,27.3,24.5,85.3,0.27,16.0,
,2022-10-21,27.6,24.3,82.3,0.553,17.3,
6.142857142857143,2022-10-22,28.5,24.7,81.0,0.077,13.0,0.6792
22.09090909090909,2022-10-23,28.1,24.7,82.6,35.254,22.3,0.4394
0.0,2022-10-24,27.7,23.6,79.0,0.014,28.7,0.2776
0.0,2022-10-25,26.9,24.2,85.9,3.445,22.3,
,2022-10-26,26.6,23.7,84.9,17.571,27.7,
,2022-10-27,27.7,23.0,76.9,0.0,22.3,0.5858
,2022-10-28,28.5,21.7,69.5,0.0,27.7,0.3102
34.0,2022-10-29,28.6,23.2,73.5,0.0,16.6,0.2604
55.40909090909091,2022-10-30,28.3,22.7,73.0,0.0,18.4,0.074
53.04347826086956,2022-10-31,28.4,23.5,75.2,0.001,16.6,0.70339996
53.2,2022-11-01,28.5,23.8,77.1,0.0,16.0,0.638
67.76470588235294,2022-11-02,28.3,24.3,80.0,0.803,18.4,0.98359996
57.1,2022-11-03,27.8,24.3,82.1,0.775,18.4,
69.83333333333333,2022-11-04,27.8,23.9,80.8,21.063,18.5,0.8724
62.4,2022-11-05,26.9,24.0,84.5,1.564,18.4,0.4138
,2022-11-06,27.5,24.4,84.2,0.0,18.4,
,2022-11-07,26.8,24.6,88.1,15.025,31.7,0.8922
,2022-11-08,26.7,24.4,87.6,8.46,15.0,0.4842
67.53846153846153,2022-11-09,27.4,23.8,81.5,0.0,22.3,
48.5,2022-11-10,27.5,24.4,83.6,10.016,22.3,
0.0,2022-11-11,27.1,23.6,81.9,1.468,46.4,
37.4375,2022-11-12,26.6,24.2,87.5,15.348,25.9,0.737
49.0,2022-11-13,26.3,24.2,88.5,11.178,22.3,
54.8421052631579,2022-11-14,27.7,24.2,82.3,0.491,18.4,0.6482
46.73684210526316,2022-11-15,27.9,24.3,81.5,0.0,25.9,0.8436
7.833333333333333,2022-11-16,28.6,24.4,78.8,0.033,18.0,0.47079998
,2022-11-17,25.9,24.2,90.4,49.352,18.4,
0.0,2022-11-18,27.4,23.5,80.4,0.153,31.0,0.2744
0.0,2022-11-19,28.1,24.0,79.7,0.058,31.7,0.3746
0.0,2022-11-20,28.3,23.8,77.7,0.0,35.3,
0.0,2022-11-21,28.6,23.3,74.5,0.045,27.7,0.045399997
0.0,2022-11-22,28.6,23.5,74.7,0.0,37.1,
0.0,2022-11-23,28.5,23.6,76.0,2.735,25.9,0.18959999
0.0,2022-11-24,27.7,24.0,80.8,2.223,26.4,
0.0,2022-11-25,27.3,23.9,82.7,0.509,16.6,
0.0,2022-11-26,27.0,24.2,85.8,10.244,29.5,
0.0,2022-11-27,27.7,24.1,81.5,1.08,20.5,0.79459995
,2022-11-28,27.6,24.7,84.8,15.875,27.7,0.6896
0.0,2022-11-29,28.2,24.3,80.6,4.612,18.4,0.24759999
0.0,2022-11-30,28.2,24.0,78.9,0.584,14.8,
0.0,2022-12-01,27.7,24.3,82.6,0.548,20.5,0.376
0.0,2022-12-02,27.6,24.1,81.9,2.297,14.8,
0.0,2022-12-03,27.7,23.7,79.9,0.96,18.4,0.6574
0.0,2022-12-04,28.2,24.0,79.1,0.132,20.5,
0.0,2022-12-05,27.8,23.9,79.8,4.709,20.5,1.1542
0.0,2022-12-06,27.3,24.2,83.1,3.28,16.6,0.7772
0.0,2022-12-07,27.5,24.2,82.9,0.648,16.6,
57.0,2022-12-08,27.8,23.7,79.5,2.463,24.1,
67.85,2022-12-09,26.0,23.7,87.8,11.052,31.7,
58.10526315789474,2022-12-10,28.1,23.3,76.2,0.451,20.5,0.493
43.523809523809526,2022-12-11,27.7,23.7,79.0,0.158,29.5,
28.27777777777778,2022-12-12,28.1,23.1,75.8,1.369,34.0,0.3552
27.842105263157894,2022-12-13,27.5,23.3,78.9,0.0,33.5,0.4892
,2022-12-14,28.3,24.0,78.6,0.008,23.1,0.6432
,2022-12-15,29.4,22.9,69.5,0.175,50.9,0.4104
51.0,2022-12-16,27.5,23.8,80.9,5.272,25.9,0.96279997
,2022-12-17,27.9,24.5,82.7,2.056,18.4,0.1116
,2022-12-18,27.9,24.7,83.5,2.639,22.3,0.7062
,2022-12-19,28.1,24.1,80.3,0.0,13.7,0.4416
71.375,2022-12-20,27.7,24.3,82.2,0.379,19.6,0.48979998
,2022-12-21,27.9,24.8,83.7,0.527,21.2,0.3354
,2022-12-22,26.7,24.1,86.0,21.399,18.4,
,2022-12-23,26.8,24.4,87.2,9.167,20.5,
,2022-12-24,27.5,24.7,84.8,0.729,21.2,
,2022-12-25,26.0,24.3,90.5,13.817,24.1,
0.0,2022-12-26,25.7,24.3,92.4,9.238,22.3,
0.0,2022-12-27,25.5,23.1,86.9,1.736,26.5,
0.0,2022-12-28,25.1,23.4,90.6,23.406,31.7,0.592
0.0,2022-12-29,26.0,23.6,87.5,10.704,23.3,
0.0,2022-12-30,26.1,24.5,91.6,3.831,16.8,
0.0,2022-12-31,25.6,23.8,90.3,15.676,25.9,0.26319999
0.0,2023-01-01,25.7,24.2,91.8,70.345,16.6,
0.0,2023-01-02,26.9,24.2,85.5,0.507,18.3,0.3328
0.0,2023-01-03,26.0,23.7,87.4,0.258,24.7,0.1056
0.0,2023-01-04,26.3,23.9,87.0,6.391,20.5,
0.0,2023-01-05,27.2,23.7,82.3,26.356,22.3,0.118
0.0,2023-01-06,28.7,23.0,72.4,0.302,29.5,0.3304
0.0,2023-01-07,28.7,23.8,75.9,0.02,31.7,0.0898
0.0,2023-01-08,27.2,24.1,83.4,2.361,25.9,
0.0,2023-01-09,28.4,23.9,77.6,0.003,20.5,
0.0,2023-01-10,28.9,23.4,73.2,0.0,24.1,
0.0,2023-01-11,28.3,22.8,73.3,0.053,18.4,
0.0,2023-01-12,28.6,23.3,74.7,0.0,17.3,0.636
,2023-01-13,28.3,24.0,78.2,0.26,22.3,
,2023-01-14,28.7,23.6,75.0,0.0,22.3,0.1574
,2023-01-15,28.7,23.3,73.8,0.0,27.7,0.2968
,2023-01-16,28.0,23.4,77.1,0.0,27.7,0.5694
,2023-01-17,26.6,23.8,84.8,0.012,18.0,
0.0,2023-01-18,27.1,23.8,82.9,0.761,18.6,
0.0,2023-01-19,27.1,24.3,85.0,2.597,18.4,
0.0,2023-01-20,27.6,23.5,79.5,0.814,18.4,
0.0,2023-01-21,27.6,23.7,79.9,0.906,22.3,0.0392
0.0,2023-01-22,27.8,23.8,79.8,0.005,25.9,
0.0,2023-01-23,27.9,23.8,79.1,0.052,25.9,
0.0,2023-01-24,28.1,23.9,79.3,0.192,27.4,
